time_seconds,fill_level,terminal_voltage_V,resting_voltage_V,current_A,temperature_C,fast_voltage_drop_V,slow_voltage_drop_V
5352.0,0.8425899999999468,4.122532843749938,4.016848999999942,-25.0,29.737146663606495,-0.024999999999999977,-0.019999999999999806
5353.0,0.8427287499999467,4.122695874999937,4.017001624999941,-25.0,29.737488892254248,-0.024999999999999977,-0.019999999999999806
5354.0,0.8428674999999467,4.122858906249937,4.017154249999941,-25.0,29.737831232204428,-0.024999999999999977,-0.019999999999999806
5355.0,0.8430062499999467,4.123021937499938,4.017306874999941,-25.0,29.7381736833874,-0.024999999999999977,-0.019999999999999806
5356.0,0.8431449999999466,4.123184968749937,4.017459499999942,-25.0,29.738516245733706,-0.024999999999999977,-0.019999999999999806
5357.0,0.8432837499999466,4.123347999999938,4.017612124999942,-25.0,29.73885891917388,-0.024999999999999977,-0.019999999999999806
5358.0,0.8434224999999466,4.123511031249937,4.017764749999941,-25.0,29.739201703638457,-0.024999999999999977,-0.019999999999999806
5359.0,0.8435612499999465,4.123674062499937,4.017917374999941,-25.0,29.739544599058036,-0.024999999999999977,-0.019999999999999806
5360.0,0.8436999999999465,4.123837093749937,4.018069999999941,-25.0,29.73988760536332,-0.024999999999999977,-0.019999999999999806
5361.0,0.8438387499999465,4.124000124999937,4.018222624999941,-25.0,29.740230722484966,-0.024999999999999977,-0.019999999999999806
5362.0,0.8439774999999464,4.124163156249938,4.0183752499999414,-25.0,29.740573950353735,-0.024999999999999977,-0.019999999999999806
5363.0,0.8441162499999464,4.124326187499937,4.018527874999942,-25.0,29.74091728890039,-0.024999999999999977,-0.019999999999999806
5364.0,0.8442549999999464,4.124489218749937,4.018680499999941,-25.0,29.741260738055757,-0.024999999999999977,-0.019999999999999806
5365.0,0.8443937499999463,4.1246522499999365,4.018833124999941,-25.0,29.741604297750712,-0.024999999999999977,-0.019999999999999806
5366.0,0.8445324999999463,4.124815281249937,4.018985749999941,-25.0,29.74194796791619,-0.024999999999999977,-0.019999999999999806
5367.0,0.8446712499999462,4.1249783124999375,4.019138374999941,-25.0,29.742291748483126,-0.024999999999999977,-0.019999999999999806
5368.0,0.8448099999999462,4.125141343749937,4.019290999999941,-25.0,29.742635639382513,-0.024999999999999977,-0.019999999999999806
5369.0,0.8449487499999462,4.125304374999937,4.019443624999941,-25.0,29.7429796405454,-0.024999999999999977,-0.019999999999999806
5370.0,0.8450874999999461,4.125467406249936,4.019596249999941,-25.0,29.743323751902892,-0.024999999999999977,-0.019999999999999806
5371.0,0.8452262499999461,4.125630437499937,4.019748874999941,-25.0,29.743667973386096,-0.024999999999999977,-0.019999999999999806
5372.0,0.8453649999999461,4.1257934687499365,4.019901499999941,-25.0,29.744012304926173,-0.024999999999999977,-0.019999999999999806
5373.0,0.845503749999946,4.125956499999937,4.020054124999941,-25.0,29.744356746454343,-0.024999999999999977,-0.019999999999999806
5374.0,0.845642499999946,4.126119531249937,4.02020674999994,-25.0,29.744701297901884,-0.024999999999999977,-0.019999999999999806
5375.0,0.845781249999946,4.126282562499936,4.0203593749999404,-25.0,29.74504595920007,-0.024999999999999977,-0.019999999999999806
5376.0,0.8459199999999459,4.126445593749937,4.020511999999941,-25.0,29.745390730280235,-0.024999999999999977,-0.019999999999999806
5377.0,0.8460587499999459,4.126608624999936,4.020664624999941,-25.0,29.745735611073826,-0.024999999999999977,-0.019999999999999806
5378.0,0.8461974999999459,4.126771656249937,4.020817249999941,-25.0,29.746080601512233,-0.024999999999999977,-0.019999999999999806
5379.0,0.8463362499999458,4.1269346874999355,4.02096987499994,-25.0,29.746425701526903,-0.024999999999999977,-0.019999999999999806
5380.0,0.8464749999999458,4.127097718749936,4.02112249999994,-25.0,29.746770911049396,-0.024999999999999977,-0.019999999999999806
5381.0,0.8466137499999458,4.1272607499999365,4.02127512499994,-25.0,29.747116230011216,-0.024999999999999977,-0.019999999999999806
5382.0,0.8467524999999457,4.127423781249936,4.0214277499999405,-25.0,29.747461658344037,-0.024999999999999977,-0.019999999999999806
5383.0,0.8468912499999457,4.127586812499937,4.021580374999941,-25.0,29.74780719597942,-0.024999999999999977,-0.019999999999999806
5384.0,0.8470299999999457,4.127749843749936,4.021732999999941,-25.0,29.748152842849095,-0.024999999999999977,-0.019999999999999806
5385.0,0.8471687499999456,4.127912874999936,4.02188562499994,-25.0,29.748498598884794,-0.024999999999999977,-0.019999999999999806
5386.0,0.8473074999999456,4.128075906249936,4.02203824999994,-25.0,29.748844464018305,-0.024999999999999977,-0.019999999999999806
5387.0,0.8474462499999456,4.128238937499936,4.02219087499994,-25.0,29.749190438181415,-0.024999999999999977,-0.019999999999999806
5388.0,0.8475849999999455,4.1284019687499365,4.02234349999994,-25.0,29.74953652130597,-0.024999999999999977,-0.019999999999999806
5389.0,0.8477237499999455,4.128564999999936,4.0224961249999405,-25.0,29.749882713323927,-0.024999999999999977,-0.019999999999999806
5390.0,0.8478624999999455,4.128728031249936,4.02264874999994,-25.0,29.75022901416719,-0.024999999999999977,-0.019999999999999806
5391.0,0.8480012499999454,4.128891062499935,4.02280137499994,-25.0,29.750575423767714,-0.024999999999999977,-0.019999999999999806
5392.0,0.8481399999999454,4.129054093749936,4.02295399999994,-25.0,29.750921942057573,-0.024999999999999977,-0.019999999999999806
5393.0,0.8482787499999453,4.129217124999936,4.02310662499994,-25.0,29.751268568968783,-0.024999999999999977,-0.019999999999999806
5394.0,0.8484174999999453,4.129380156249936,4.02325924999994,-25.0,29.75161530443347,-0.024999999999999977,-0.019999999999999806
5395.0,0.8485562499999453,4.1295431874999355,4.0234118749999395,-25.0,29.751962148383825,-0.024999999999999977,-0.019999999999999806
5396.0,0.8486949999999452,4.129706218749935,4.02356449999994,-25.0,29.75230910075203,-0.024999999999999977,-0.019999999999999806
5397.0,0.8488337499999452,4.129869249999936,4.02371712499994,-25.0,29.752656161470327,-0.024999999999999977,-0.019999999999999806
5398.0,0.8489724999999452,4.130032281249935,4.02386974999994,-25.0,29.75300333047096,-0.024999999999999977,-0.019999999999999806
5399.0,0.8491112499999451,4.130195312499936,4.02402237499994,-25.0,29.753350607686286,-0.024999999999999977,-0.019999999999999806
5400.0,0.8492499999999451,4.130358343749936,4.02417499999994,-25.0,29.75369799304866,-0.024999999999999977,-0.019999999999999806
5401.0,0.8493887499999451,4.130521374999935,4.024327624999939,-25.0,29.754045486490497,-0.024999999999999977,-0.019999999999999806
5402.0,0.849527499999945,4.1306844062499355,4.0244802499999395,-25.0,29.754393087944266,-0.024999999999999977,-0.019999999999999806
5403.0,0.849666249999945,4.130847437499935,4.02463287499994,-25.0,29.754740797342436,-0.024999999999999977,-0.019999999999999806
5404.0,0.849804999999945,4.131010468749936,4.02478549999994,-25.0,29.755088614617534,-0.024999999999999977,-0.019999999999999806
5405.0,0.8499437499999449,4.131173499999936,4.02493812499994,-25.0,29.755436539702146,-0.024999999999999977,-0.019999999999999806
5406.0,0.8500824999999449,4.131336531249935,4.025090749999939,-25.0,29.75578457252891,-0.024999999999999977,-0.019999999999999806
5407.0,0.8502212499999449,4.131499562499935,4.025243374999939,-25.0,29.756132713030468,-0.024999999999999977,-0.019999999999999806
5408.0,0.8503599999999448,4.131662593749935,4.025395999999939,-25.0,29.756480961139516,-0.024999999999999977,-0.019999999999999806
5409.0,0.8504987499999448,4.131825624999935,4.0255486249999395,-25.0,29.75682931678881,-0.024999999999999977,-0.019999999999999806
5410.0,0.8506374999999448,4.131988656249935,4.02570124999994,-25.0,29.757177779911103,-0.024999999999999977,-0.019999999999999806
5411.0,0.8507762499999447,4.132151687499935,4.025853874999939,-25.0,29.757526350439264,-0.024999999999999977,-0.019999999999999806
5412.0,0.8509149999999447,4.132314718749935,4.026006499999939,-25.0,29.75787502830616,-0.024999999999999977,-0.019999999999999806
5413.0,0.8510537499999447,4.132477749999935,4.026159124999939,-25.0,29.758223813444715,-0.024999999999999977,-0.019999999999999806
5414.0,0.8511924999999446,4.132640781249935,4.026311749999939,-25.0,29.758572705787856,-0.024999999999999977,-0.019999999999999806
5415.0,0.8513312499999446,4.132803812499935,4.026464374999939,-25.0,29.75892170526862,-0.024999999999999977,-0.019999999999999806
5416.0,0.8514699999999445,4.132966843749935,4.0266169999999395,-25.0,29.759270811819988,-0.024999999999999977,-0.019999999999999806
5417.0,0.8516087499999445,4.133129874999934,4.026769624999939,-25.0,29.759620025375114,-0.024999999999999977,-0.019999999999999806
5418.0,0.8517474999999445,4.133292906249935,4.026922249999939,-25.0,29.75996934586709,-0.024999999999999977,-0.019999999999999806
5419.0,0.8518862499999444,4.133455937499935,4.027074874999939,-25.0,29.760318773229073,-0.024999999999999977,-0.019999999999999806
5420.0,0.8520249999999444,4.133618968749935,4.027227499999939,-25.0,29.76066830739427,-0.024999999999999977,-0.019999999999999806
5421.0,0.8521637499999444,4.133781999999935,4.027380124999939,-25.0,29.761017948295887,-0.024999999999999977,-0.019999999999999806
